comment,candidate,label_raw,score_raw,polarity,strength
"Jara nos representa, la clase trabajadora está protegida con Jeannette",Jannette Jara,5 stars,0.4067877531051636,Positivo,1.0
El Artés esta loco,Eduardo Artés,5 stars,0.2823464870452881,Positivo,1.0
"Grande Artes, el único candidato con convicción, patria, y valores SOCIALES",Eduardo Artés,5 stars,0.5350961685180664,Positivo,1.0
Grande el profe artes el único candidato que piensa en los pobres y la clase trabajadora humano inteligente,Eduardo Artés,5 stars,0.37081611156463623,Positivo,1.0
"Este señor vive en una utopía constante. Que peligroso para el país sería tener un presidente obsecuente con su modelo comunista, revolucionario y hasta anarquista como Eduardo Artés",Eduardo Artés,5 stars,0.5174473524093628,Positivo,1.0
"Mi voto para Eduardo Artés, lo demás es más del mismo sistema y así no cambiará nada, seguiremos como ""aves de corral""",Eduardo Artés,2 stars,0.371644526720047,Negativo,1.0
"Muy bien el profe Artés, es lo que Chile necesita",Eduardo Artés,5 stars,0.587920069694519,Positivo,1.0
"Que bueno escuchar a este hombre, más ganas me dan de jamás darle un voto a él y no creo que haya mucha gente que lo tome enserio",Eduardo Artés,1 star,0.3000308871269226,Negativo,0.0
"Matthei: la mejor opción, sin lugar a dudas",Evelyn Matthei,5 stars,0.7478734254837036,Positivo,1.0
Excelente Evelyn Matthei!! Ahora tengo claro por quien votaré,Evelyn Matthei,5 stars,0.741767168045044,Positivo,1.0
"Es muy inteligente, no para la galería eso sí, en cada cargo que ha ocupado se ha destacado, estudia y le gusta rodearse de los mejores. Es mi candidata",Evelyn Matthei,5 stars,0.5431830883026123,Positivo,1.0
"Yo soy de centro izquierda, pero Matthei está mucho más preparada que ningún otro candidato",Evelyn Matthei,3 stars,0.36413446068763733,Neutro,0.5
"Evelyn Matthei, ha estado excepcional. Está muy apta para ser nuestra futura Presidente de Chile!",Evelyn Matthei,5 stars,0.8018102049827576,Positivo,1.0
Espero que los chilenos se den cuenta de la gran persona que es Evelyn. Sería una gran presidenta,Evelyn Matthei,5 stars,0.2638988494873047,Positivo,1.0
"Es la candidata más preparada, con más experiencia exitosa y con más equipo para gobernar",Evelyn Matthei,5 stars,0.7961422204971313,Positivo,1.0
"No tiene partidos,no tiene coaliciones pero tiene sentido común en temas como las tomas, seguridad y migracion. Es lo mejor para el país para no elegir entre anarquía por un lado y revuelta social por el otro. Yo voy a votar por él",Harold Mayne Nicholls,5 stars,0.3826671838760376,Positivo,1.0
"Me cae bien, tiene un par de propuestas bastante interesantes. El problema es que se nota que no tiene nociones de cómo funciona la administración pública ni tampoco tiene experiencia política",Harold Mayne Nicholls,3 stars,0.6977372765541077,Neutro,0.5
"Es el único que he visto que se preocupa por los niños o los más jóvenes del país, para gobernar hay que tener visión a largo plazo si queremos que ocurran cambios positivos en el país",Harold Mayne Nicholls,3 stars,0.3124348521232605,Neutro,0.5
"Respetuoso,medido y lucido, el mejor candidato, sin tanto show",José Antonio Kast,5 stars,0.7204208970069885,Positivo,1.0
Siempre directo y claro. Muy bien ahí Kast,José Antonio Kast,5 stars,0.5656893253326416,Positivo,1.0
"Yo votaré por Kast: tiene experiencia, canas, equipo, diputados y senadores. Es la mejor opción según lo que creo",José Antonio Kast,5 stars,0.6886587738990784,Positivo,1.0
