comment,candidate
El historial más conocido es de Kast y Kaiser...no han hecho NADA,Johannes Kaiser
"Jara ahora reniega de sus amigos y su partido, como le podemos creer lo que promete",Jannette Jara
"Marco Enríquez Ominami está realmente loco.... Su narcisismo ha llegado a otro nivel, que se cree?",Marco Enríquez Ominami
"Lo que hizo MEO es ilegal, debe ser automaticamente descalificado",Marco Enríquez Ominami
Con el respeto que se merece cada uno de mis compatriotas el más acertivo en esta primera franja es indudable que es el sr Kaiser sin enamoramiento mas bien rígido con las causas que requiere chile,Johannes Kaiser
Kaiser es lo que chile necesita,Johannes Kaiser
"El unico candidato que defiende ""Lo bueno, lo bello y lo verdadero"" el ultimo bastión de la razón y la libertad,usted confie en Dios y vote Kaiser",Johannes Kaiser
No se como no darse cuenta que parisi es un tremendo demagogo y mentiroso,Franco Parisi
"MEO ya va en su quinta candidatura y nunca pasa del cuarto lugar. Parece que solo se presenta para descalificar gratuitamente a los candidatos de derecha y desviar votos. No aporta propuestas, solo críticas vacías",Marco Enríquez Ominami
"Marco no has Convencido en 4 candidaturas no lo vas hacer en 1 mes, menos con esa franja",Marco Enríquez Ominami
"El meo es un peligro para la democracia,  y vive del odio, además de la plata de todos los chilenos, una vergüenza este este tipo",Marco Enríquez Ominami
"Meo es un parasito de la política,  ha desviado votos y descalificado a los otros candidatos desde siempre,  no sirve para nada",Marco Enríquez Ominami
"MEO como el eterno candidato no sirve para nada ,que está haciendo ahí",Marco Enríquez Ominami
"Franco Parisi es por lejos el más capacitado y valiente para acabar con la corrupción, si eres inteligente vota Parisi",Franco Parisi
"Por mucho que quieran destruir la imagen de mi candidato ..mi voto es para Kaiser desde que escuché sus ideas, Chile debe volver a ser un país en vías de desarrollo..la izquierda ha destruido chile en todos sus ambitos",Johannes Kaiser
"Artes no es de izquierda, es un bolchevique, cree que estamos en 1925",Eduardo Artés
Artes representa todo lo mal que está en los profesores… como pueden infectar la mente de los más jóvenes con ideas fracasadas,Eduardo Artés
El más indicado para Presidente espero que mi chile no se equivoque denuevo. OMINAMI PRESIDENTE,Marco Enríquez Ominami
Meo Presidente el pueblo está contigo Marcó Presidente,Marco Enríquez Ominami
"Este hombre no se maneja para nada en cómo administrar y liderar un país… votos perdidos, mentiroso, agresivo etc…",Harold Mayne Nicholls
El mejor Harold !!!!,Harold Mayne Nicholls
"No sé ustedes, pero yo voy por Mayne-Nicholls",Harold Mayne Nicholls
Pero al menos es alguien que le ha hecho bien a Chile,Harold Mayne Nicholls
"No se Uds. pero es mi candidato. Un líder con capacidad de gestión y práctico. Caballero, y con capacidad de diálogo",Harold Mayne Nicholls
El UNICO que está por la batalla cultural es KAISER,Johannes Kaiser
"NUNCA voten por Jara, por su seguridad",Jannette Jara
"El viejo artes es peor que el boric, responde siempre a la defensiva, cree que lo atacan con cada pregunta, no tiene paciencia para debatir, igual que el merluzo, pierden los estribos facilmente",Eduardo Artés
Vamos con todo KAISER Presidente de Chile,Johannes Kaiser
KAST PRESIDENTE DE LA REPÚBLICA DE CHILE 2026. Es el más apto para gobernar nuestra nación,José Antonio Kast
PARÍSI  POR SUPUESTO,Franco Parisi
Kast es el más equilibrado y capaz,José Antonio Kast
Un contrato de confidencialidad no impide decir el nombre de la empresa. Parisi miente,Franco Parisi
GRANDE HAROLD MAYNE-NICHOLLS!!!,Harold Mayne Nicholls
Parisi Presidente.  De otra manera. Perderemos todas nuestras  libertades y derechos humanos con la Agenda 2030 de la ONU y la OMS criminal,Franco Parisi
"Jara nos representa, la clase trabajadora está protegida con Jeannette",Jannette Jara
El Artés esta loco,Eduardo Artés
"Grande Artes, el único candidato con convicción, patria, y valores SOCIALES",Eduardo Artés
Grande el profe artes el único candidato que piensa en los pobres y la clase trabajadora humano inteligente,Eduardo Artés
"Este señor vive en una utopía constante. Que peligroso para el país sería tener un presidente obsecuente con su modelo comunista, revolucionario y hasta anarquista como Eduardo Artés",Eduardo Artés
"Mi voto para Eduardo Artés, lo demás es más del mismo sistema y así no cambiará nada, seguiremos como ""aves de corral""",Eduardo Artés
"Muy bien el profe Artés, es lo que Chile necesita",Eduardo Artés
"Que bueno escuchar a este hombre, más ganas me dan de jamás darle un voto a él y no creo que haya mucha gente que lo tome enserio",Eduardo Artés
"Matthei: la mejor opción, sin lugar a dudas",Evelyn Matthei
Excelente Evelyn Matthei!! Ahora tengo claro por quien votaré,Evelyn Matthei
"Es muy inteligente, no para la galería eso sí, en cada cargo que ha ocupado se ha destacado, estudia y le gusta rodearse de los mejores. Es mi candidata",Evelyn Matthei
"Yo soy de centro izquierda, pero Matthei está mucho más preparada que ningún otro candidato",Evelyn Matthei
"Evelyn Matthei, ha estado excepcional. Está muy apta para ser nuestra futura Presidente de Chile!",Evelyn Matthei
Espero que los chilenos se den cuenta de la gran persona que es Evelyn. Sería una gran presidenta,Evelyn Matthei
"Es la candidata más preparada, con más experiencia exitosa y con más equipo para gobernar",Evelyn Matthei
"No tiene partidos,no tiene coaliciones pero tiene sentido común en temas como las tomas, seguridad y migracion. Es lo mejor para el país para no elegir entre anarquía por un lado y revuelta social por el otro. Yo voy a votar por él",Harold Mayne Nicholls
"Me cae bien, tiene un par de propuestas bastante interesantes. El problema es que se nota que no tiene nociones de cómo funciona la administración pública ni tampoco tiene experiencia política",Harold Mayne Nicholls
"Es el único que he visto que se preocupa por los niños o los más jóvenes del país, para gobernar hay que tener visión a largo plazo si queremos que ocurran cambios positivos en el país",Harold Mayne Nicholls
"Respetuoso,medido y lucido, el mejor candidato, sin tanto show",José Antonio Kast
Siempre directo y claro. Muy bien ahí Kast,José Antonio Kast
"Yo votaré por Kast: tiene experiencia, canas, equipo, diputados y senadores. Es la mejor opción según lo que creo",José Antonio Kast
